id,name,calories,proteins,fat,carbohydrate,is_energizing,is_relaxing,is_focusing,primary_mood,calorie_category,protein_category,fat_category,carb_category,nutrient_balance,vitamin_a,vitamin_c,vitamin_b,iron,calcium,has_recipe,calorie_category_num,protein_category_num,fat_category_num,carb_category_num,nutrient_balance_num,mood_energizing,mood_focusing,mood_relaxing,mood_uncategorized
237,Daun belem segar,0.05319148936170213,0.05301204819277109,0.013999999999999999,0.01205564142194745,0,1,0,relaxing,very_low,very_low,very_low,very_low,balanced,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,False,False,True,False
238,Daun Beluntas,0.04468085106382979,0.02168674698795181,0.005,0.014528593508500774,0,1,0,relaxing,very_low,very_low,very_low,very_low,high_carb,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.25,False,False,True,False
239,Daun Cincau,0.12978723404255318,0.07228915662650603,0.01,0.0401854714064915,0,0,0,uncategorized,low,low,very_low,low,high_carb,0.0,0.0,0.0,0.0,0.0,0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.25,False,False,False,True
240,Daun Gandaria,0.06382978723404255,0.03734939759036145,0.003,0.021638330757341576,0,1,0,relaxing,very_low,very_low,very_low,very_low,high_carb,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.25,False,False,True,False
241,Daun gedi besar segar,0.06170212765957447,0.03493975903614458,0.006999999999999999,0.015455950540958269,0,1,0,relaxing,very_low,very_low,very_low,very_low,high_carb,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.25,False,False,True,False
242,Daun gelang segar,0.031914893617021274,0.01566265060240964,0.006999999999999999,0.008964451313755796,0,1,0,relaxing,very_low,very_low,very_low,very_low,high_carb,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.25,False,False,True,False
243,Daun gunda bali segar,0.05319148936170213,0.05542168674698795,0.009000000000000001,0.010819165378670788,0,1,0,relaxing,very_low,very_low,very_low,very_low,other,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False,False,True,False
244,Daun gunda serang segar,0.06595744680851064,0.050602409638554224,0.009000000000000001,0.014219474497681605,0,1,0,relaxing,very_low,very_low,very_low,very_low,other,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False,False,True,False
245,Daun Jambu Mete muda,0.07765957446808511,0.05542168674698795,0.005,0.025038639876352395,0,1,0,relaxing,very_low,very_low,very_low,low,high_carb,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.3333333333333333,0.25,False,False,True,False
246,Daun jampang segar,0.03617021276595745,0.04578313253012048,0.005,0.008191653786707881,0,1,0,relaxing,very_low,very_low,very_low,very_low,high_protein,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.75,False,False,True,False
247,Daun jawaw seluang segar,0.09893617021276596,0.060240963855421686,0.013000000000000001,0.023647604327666154,0,0,0,uncategorized,very_low,very_low,very_low,low,high_carb,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.3333333333333333,0.25,False,False,False,True
248,Daun jonghe segar,0.02872340425531915,0.025301204819277112,0.006999999999999999,0.0068006182380216385,0,1,0,relaxing,very_low,very_low,very_low,very_low,other,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False,False,True,False
249,Daun kacang ma segar,0.03829787234042553,0.03493975903614458,0.006,0.010510046367851623,0,1,0,relaxing,very_low,very_low,very_low,very_low,other,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False,False,True,False
250,Daun Kacang Panjang,0.03617021276595745,0.04939759036144578,0.004,0.008964451313755796,0,1,0,relaxing,very_low,very_low,very_low,very_low,high_protein,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.75,False,False,True,False
251,Daun Kacang Panjang kukus,0.0425531914893617,0.04457831325301205,0.003,0.012364760432766615,0,1,0,relaxing,very_low,very_low,very_low,very_low,other,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False,False,True,False
252,Daun kacang panjang segar,0.031914893617021274,0.03734939759036145,0.003,0.008964451313755796,0,1,0,relaxing,very_low,very_low,very_low,very_low,other,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False,False,True,False
253,Daun kasbi/singkong karet segar,0.09787234042553192,0.04819277108433735,0.036000000000000004,0.016846986089644512,0,1,0,relaxing,very_low,very_low,very_low,very_low,high_fat,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.5,False,False,True,False
254,Daun Katuk,0.06276595744680852,0.05783132530120482,0.01,0.017001545595054096,0,1,0,relaxing,very_low,very_low,very_low,very_low,other,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False,False,True,False
255,Daun katuk rebus,0.05638297872340425,0.06385542168674699,0.009000000000000001,0.014064914992272025,0,0,0,uncategorized,very_low,low,very_low,very_low,other,0.0,0.0,0.0,0.0,0.0,0,0.0,0.3333333333333333,0.0,0.0,0.0,False,False,False,True
256,Daun katuk segar,0.06276595744680852,0.07710843373493977,0.01,0.015301391035548687,0,0,0,uncategorized,very_low,low,very_low,very_low,other,0.0,0.0,0.0,0.0,0.0,0,0.0,0.3333333333333333,0.0,0.0,0.0,False,False,False,True
257,Daun Kecipir,0.05,0.060240963855421686,0.005,0.013137557959814528,0,0,0,uncategorized,very_low,very_low,very_low,very_low,other,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,True
258,Daun Kedondong,0.06276595744680852,0.033734939759036145,0.003,0.02071097372488408,0,1,0,relaxing,very_low,very_low,very_low,very_low,high_carb,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.25,False,False,True,False
259,Daun Kelor,0.08723404255319149,0.08072289156626507,0.017,0.022102009273570325,0,0,0,uncategorized,very_low,low,very_low,very_low,other,0.0,0.0,0.0,0.0,0.0,0,0.0,0.3333333333333333,0.0,0.0,0.0,False,False,False,True
260,Daun Kelor rebus,0.06489361702127659,0.07349397590361446,0.009000000000000001,0.015455950540958269,0,0,0,uncategorized,very_low,low,very_low,very_low,other,0.0,0.0,0.0,0.0,0.0,0,0.0,0.3333333333333333,0.0,0.0,0.0,False,False,False,True
261,Daun Kemangi,0.04893617021276596,0.04819277108433735,0.005,0.01375579598145286,0,1,0,relaxing,very_low,very_low,very_low,very_low,other,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False,False,True,False
262,Daun kenikir segar,0.047872340425531915,0.04457831325301205,0.005,0.010200927357032456,0,1,0,relaxing,very_low,very_low,very_low,very_low,other,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False,False,True,False
263,Daun kesum segar,0.05106382978723405,0.05421686746987952,0.008,0.014064914992272025,0,1,0,relaxing,very_low,very_low,very_low,very_low,other,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False,False,True,False
264,Daun kol sawi segar,0.023404255319148935,0.025301204819277112,0.005,0.0055641421947449764,0,1,0,relaxing,very_low,very_low,very_low,very_low,other,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False,False,True,False
265,Daun Koro,0.02446808510638298,0.03614457831325302,0.003,0.00571870170015456,0,1,0,relaxing,very_low,very_low,very_low,very_low,high_protein,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.75,False,False,True,False
266,Daun kubis segar,0.05425531914893617,0.030120481927710843,0.011000000000000001,0.012364760432766615,0,1,0,relaxing,very_low,very_low,very_low,very_low,other,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False,False,True,False
267,Daun Kumak,0.014893617021276596,0.01566265060240964,0.003,0.0035548686244204013,0,1,0,relaxing,very_low,very_low,very_low,very_low,other,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False,False,True,False
268,Daun Labu Siam,0.06382978723404255,0.04819277108433735,0.004,0.007264296754250387,0,1,0,relaxing,very_low,very_low,very_low,very_low,high_protein,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.75,False,False,True,False
269,Daun Labu Waluh,0.031914893617021274,0.04337349397590362,0.006,0.006955177743431221,0,1,0,relaxing,very_low,very_low,very_low,very_low,high_protein,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.75,False,False,True,False
270,Daun lamtoro segar,0.0925531914893617,0.10000000000000002,0.018000000000000002,0.022256568778979906,0,0,0,uncategorized,very_low,low,very_low,very_low,other,0.0,0.0,0.0,0.0,0.0,0,0.0,0.3333333333333333,0.0,0.0,0.0,False,False,False,True
271,Daun leilem segar,0.08085106382978724,0.033734939759036145,0.002,0.024420401854714065,0,1,0,relaxing,very_low,very_low,very_low,low,high_carb,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.3333333333333333,0.25,False,False,True,False
272,Daun Leunca,0.047872340425531915,0.05662650602409639,0.005,0.012519319938176197,0,1,0,relaxing,very_low,very_low,very_low,very_low,other,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False,False,True,False
273,Daun Lobak,0.031914893617021274,0.027710843373493974,0.004,0.008964451313755796,0,1,0,relaxing,very_low,very_low,very_low,very_low,other,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False,False,True,False
274,Daun Lompong Tales,0.0425531914893617,0.03614457831325302,0.008,0.01143740340030912,0,1,0,relaxing,very_low,very_low,very_low,very_low,other,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False,False,True,False
275,Daun Mangkokan,0.0574468085106383,0.04457831325301205,0.003,0.018238021638330756,0,1,0,relaxing,very_low,very_low,very_low,very_low,high_carb,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.25,False,False,True,False
276,Daun matel ambon segar,0.07553191489361702,0.0819277108433735,0.016,0.01777434312210201,0,0,0,uncategorized,very_low,low,very_low,very_low,other,0.0,0.0,0.0,0.0,0.0,0,0.0,0.3333333333333333,0.0,0.0,0.0,False,False,False,True
277,Daun Melinjo,0.10531914893617021,0.060240963855421686,0.013000000000000001,0.03292117465224111,0,0,0,uncategorized,very_low,very_low,very_low,low,high_carb,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.3333333333333333,0.25,False,False,False,True
278,Daun Mengkudu Kukus,0.06702127659574468,0.04578313253012048,0.015,0.01777434312210201,0,1,0,relaxing,very_low,very_low,very_low,very_low,other,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False,False,True,False
279,Daun ndusuk segar,0.17659574468085107,0.020481927710843374,0.005,0.05996908809891808,0,0,0,uncategorized,low,very_low,very_low,medium,high_carb,0.0,0.0,0.0,0.0,0.0,0,0.3333333333333333,0.0,0.0,0.6666666666666667,0.25,False,False,False,True
280,Daun Oyong,0.023404255319148935,0.012048192771084338,0.001,0.008191653786707881,0,1,0,relaxing,very_low,very_low,very_low,very_low,high_carb,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.25,False,False,True,False
281,Daun oyong segar,0.023404255319148935,0.012048192771084338,0.001,0.008191653786707881,0,1,0,relaxing,very_low,very_low,very_low,very_low,high_carb,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.25,False,False,True,False
282,Daun Pakis,0.03723404255319149,0.04819277108433735,0.003,0.009891808346213293,0,1,0,relaxing,very_low,very_low,very_low,very_low,high_protein,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.75,False,False,True,False
283,Daun pakis longgiho segar,0.0574468085106383,0.026506024096385545,0.036000000000000004,0.004791344667697064,0,1,0,relaxing,very_low,very_low,very_low,very_low,high_fat,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.5,False,False,True,False
284,Daun pakis segar,0.04148936170212766,0.05421686746987952,0.004,0.010664605873261205,0,1,0,relaxing,very_low,very_low,very_low,very_low,high_protein,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.75,False,False,True,False
285,Daun pakis wambateu segar,0.05638297872340425,0.04096385542168675,0.012,0.011128284389489953,0,1,0,relaxing,very_low,very_low,very_low,very_low,balanced,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,False,False,True,False
286,Daun paku segar,0.030851063829787233,0.04096385542168675,0.001,0.010046367851622875,0,1,0,relaxing,very_low,very_low,very_low,very_low,other,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False,False,True,False
287,Daun pangisegar,0.11063829787234043,0.046987951807228916,0.006,0.0276661514683153,0,1,0,relaxing,low,very_low,very_low,low,high_carb,0.0,0.0,0.0,0.0,0.0,0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.25,False,False,True,False
288,Daun pare segar,0.052127659574468084,0.032530120481927716,0.01,0.012982998454404947,0,1,0,relaxing,very_low,very_low,very_low,very_low,other,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False,False,True,False
289,Daun pepaya segar,0.0925531914893617,0.0963855421686747,0.02,0.01839258114374034,0,0,0,uncategorized,very_low,low,very_low,very_low,other,0.0,0.0,0.0,0.0,0.0,0,0.0,0.3333333333333333,0.0,0.0,0.0,False,False,False,True
290,Daun Pete Cina,0.13617021276595745,0.14457831325301207,0.065,0.019165378670788255,0,0,0,uncategorized,low,low,low,very_low,high_fat,0.0,0.0,0.0,0.0,0.0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.5,False,False,False,True
291,Daun Poh-pohan,0.039361702127659576,0.030120481927710843,0.008,0.010664605873261205,0,1,0,relaxing,very_low,very_low,very_low,very_low,other,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False,False,True,False
292,Daun salam  bubuk,0.3202127659574468,0.1710843373493976,0.109,0.07573415765069552,1,0,0,energizing,medium,low,low,medium,balanced,0.0,0.0,0.0,0.0,0.0,0,0.6666666666666667,0.3333333333333333,0.3333333333333333,0.6666666666666667,1.0,True,False,False,False
293,Daun selasih segar,0.06595744680851064,0.04819277108433735,0.005,0.01622874806800618,0,1,0,relaxing,very_low,very_low,very_low,very_low,high_carb,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.25,False,False,True,False
294,Daun Semanggi,0.047872340425531915,0.05301204819277109,0.08,0.0007727975270479134,0,1,0,relaxing,very_low,very_low,low,very_low,high_fat,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3333333333333333,0.0,0.5,False,False,True,False
295,Daun semanggi segar,0.047872340425531915,0.05301204819277109,0.005,0.013137557959814528,0,1,0,relaxing,very_low,very_low,very_low,very_low,other,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False,False,True,False
296,Daun simpur segar,0.05638297872340425,0.03855421686746988,0.025,0.011746522411128283,0,1,0,relaxing,very_low,very_low,very_low,very_low,balanced,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,False,False,True,False
297,Daun singkil segar,0.0723404255319149,0.024096385542168676,0.01,0.023493044822256566,0,1,0,relaxing,very_low,very_low,very_low,low,high_carb,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.3333333333333333,0.25,False,False,True,False
298,Daun Singkong,0.07765957446808511,0.0819277108433735,0.012,0.02009273570324575,0,0,0,uncategorized,very_low,low,very_low,very_low,other,0.0,0.0,0.0,0.0,0.0,0,0.0,0.3333333333333333,0.0,0.0,0.0,False,False,False,True
299,Daun singkong ambon segar,0.15319148936170213,0.1530120481927711,0.012,0.03894899536321483,0,0,0,uncategorized,low,low,very_low,low,other,0.0,0.0,0.0,0.0,0.0,0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,False,False,False,True
300,Daun singkong ampenan segar,0.05319148936170213,0.0746987951807229,0.011000000000000001,0.01097372488408037,0,0,0,uncategorized,very_low,low,very_low,very_low,high_protein,0.0,0.0,0.0,0.0,0.0,0,0.0,0.3333333333333333,0.0,0.0,0.75,False,False,False,True
301,Daun singkong kopang segar,0.07872340425531915,0.07590361445783132,0.006999999999999999,0.016537867078825347,0,0,0,uncategorized,very_low,low,very_low,very_low,other,0.0,0.0,0.0,0.0,0.0,0,0.0,0.3333333333333333,0.0,0.0,0.0,False,False,False,True
302,Daun Singkong lodeh,0.05851063829787234,0.04819277108433735,0.005,0.013137557959814528,0,1,0,relaxing,very_low,very_low,very_low,very_low,other,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False,False,True,False
303,Daun Singkong rebus,0.03297872340425532,0.04457831325301205,0.006,0.007418856259659969,0,1,0,relaxing,very_low,very_low,very_low,very_low,high_protein,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.75,False,False,True,False
304,Daun singkong segar,0.05319148936170213,0.0746987951807229,0.011000000000000001,0.01097372488408037,0,0,0,uncategorized,very_low,low,very_low,very_low,high_protein,0.0,0.0,0.0,0.0,0.0,0,0.0,0.3333333333333333,0.0,0.0,0.75,False,False,False,True
305,Daun Sintrong,0.03829787234042553,0.03132530120481928,0.009000000000000001,0.009428129829984543,0,1,0,relaxing,very_low,very_low,very_low,very_low,other,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False,False,True,False
306,Daun talas rebus,0.02872340425531915,0.01566265060240964,0.002,0.009119010819165378,0,1,0,relaxing,very_low,very_low,very_low,very_low,high_carb,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.25,False,False,True,False
307,Daun talas segar,0.06276595744680852,0.03614457831325302,0.004,0.02086553323029366,0,1,0,relaxing,very_low,very_low,very_low,very_low,high_carb,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.25,False,False,True,False
308,Daun Tales,0.07553191489361702,0.04939759036144578,0.021,0.01901081916537867,0,1,0,relaxing,very_low,very_low,very_low,very_low,balanced,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,False,False,True,False
309,Daun Tales rebus,0.02872340425531915,0.01566265060240964,0.002,0.009119010819165378,0,1,0,relaxing,very_low,very_low,very_low,very_low,high_carb,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.25,False,False,True,False
310,Daun tespong segar,0.07446808510638298,0.03493975903614458,0.003,0.021483771251931995,0,1,0,relaxing,very_low,very_low,very_low,very_low,high_carb,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.25,False,False,True,False
311,Daun Ubi Jalar,0.05,0.033734939759036145,0.004,0.0160741885625966,0,1,0,relaxing,very_low,very_low,very_low,very_low,high_carb,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.25,False,False,True,False
312,Daun Ubi Jalar kukus,0.059574468085106386,0.03734939759036145,0.003,0.02009273570324575,0,1,0,relaxing,very_low,very_low,very_low,very_low,high_carb,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.25,False,False,True,False
313,Daun ubi kuning segar,0.06595744680851064,0.04457831325301205,0.003,0.017156105100463677,0,1,0,relaxing,very_low,very_low,very_low,very_low,high_carb,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.25,False,False,True,False
314,Daun ubi merah kukus,0.059574468085106386,0.03734939759036145,0.003,0.02009273570324575,0,1,0,relaxing,very_low,very_low,very_low,very_low,high_carb,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.25,False,False,True,False
315,Daun ubi merah segar,0.05106382978723405,0.03614457831325302,0.003,0.01669242658423493,0,1,0,relaxing,very_low,very_low,very_low,very_low,high_carb,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.25,False,False,True,False
316,Daun ubi putih segar,0.04893617021276596,0.033734939759036145,0.002,0.01267387944358578,0,1,0,relaxing,very_low,very_low,very_low,very_low,high_carb,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.25,False,False,True,False
317,Daun ubi tinta segar,0.05851063829787234,0.020481927710843374,0.001,0.01839258114374034,0,1,0,relaxing,very_low,very_low,very_low,very_low,high_carb,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.25,False,False,True,False
318,Deblo ,0.2765957446808511,0.024096385542168676,0.15,0.08191653786707882,0,0,0,uncategorized,medium,very_low,low,high,high_fat,0.0,0.0,0.0,0.0,0.0,0,0.6666666666666667,0.0,0.3333333333333333,1.0,0.5,False,False,False,True
319,Dendeng belut goreng,0.4063829787234043,0.6710843373493977,0.141,0.012364760432766615,0,0,1,focusing,medium,high,low,very_low,high_protein,0.0,0.0,0.0,0.0,0.0,0,0.6666666666666667,1.0,0.3333333333333333,0.0,0.75,False,True,False,False
320,Dendeng Daging Sapi,0.46063829787234045,0.6626506024096386,0.09,0.0,0,0,1,focusing,high,high,low,,high_protein,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,0.3333333333333333,,0.75,False,True,False,False
321,Dendeng mujahir goreng,0.6361702127659574,0.8951807228915662,0.269,0.014219474497681605,0,0,1,focusing,high,high,medium,very_low,high_protein,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,0.6666666666666667,0.0,0.75,False,True,False,False
322,Dideh darah ayam,0.08191489361702128,0.16626506024096388,0.019,0.0010819165378670788,0,0,0,uncategorized,very_low,low,very_low,very_low,high_protein,0.0,0.0,0.0,0.0,0.0,0,0.0,0.3333333333333333,0.0,0.0,0.75,False,False,False,True
323,Dideh darah sapi,0.11063829787234043,0.26385542168674697,0.011000000000000001,0.0,0,0,1,focusing,low,medium,very_low,,high_protein,0.0,0.0,0.0,0.0,0.0,0,0.3333333333333333,0.6666666666666667,0.0,,0.75,False,True,False,False
324,Djibokum masakan,0.26382978723404255,0.12048192771084337,0.023,0.06321483771251932,1,0,0,energizing,medium,low,very_low,medium,high_carb,0.0,0.0,0.0,0.0,0.0,0,0.6666666666666667,0.3333333333333333,0.0,0.6666666666666667,0.25,True,False,False,False
325,Dodol,0.42021276595744683,0.03614457831325302,0.057,0.12550231839258114,0,0,0,uncategorized,medium,very_low,low,high,high_carb,0.0,0.0,0.0,0.0,0.0,0,0.6666666666666667,0.0,0.3333333333333333,1.0,0.25,False,False,False,True
326,Dodol bali,0.3170212765957447,0.04457831325301205,0.021,0.101854714064915,0,0,0,uncategorized,medium,very_low,very_low,high,high_carb,0.0,0.0,0.0,0.0,0.0,0,0.6666666666666667,0.0,0.0,1.0,0.25,False,False,False,True
327,Dodol banjarmasin,0.39148936170212767,0.03132530120481928,0.086,0.10819165378670788,0,0,0,uncategorized,medium,very_low,low,high,high_carb,0.0,0.0,0.0,0.0,0.0,0,0.6666666666666667,0.0,0.3333333333333333,1.0,0.25,False,False,False,True
328,Dodol galamai,0.3702127659574468,0.004819277108433735,0.038,0.11761978361669241,0,0,0,uncategorized,medium,very_low,very_low,high,high_carb,0.0,0.0,0.0,0.0,0.0,0,0.6666666666666667,0.0,0.0,1.0,0.25,False,False,False,True
329,Dodol kedondong,0.35212765957446807,0.02289156626506024,0.076,0.09860896445131374,0,0,0,uncategorized,medium,very_low,low,high,high_carb,0.0,0.0,0.0,0.0,0.0,0,0.6666666666666667,0.0,0.3333333333333333,1.0,0.25,False,False,False,True
330,Dodol manado,0.39680851063829786,0.051807228915662654,0.165,0.08021638330757341,0,0,0,uncategorized,medium,very_low,medium,high,high_fat,0.0,0.0,0.0,0.0,0.0,0,0.6666666666666667,0.0,0.6666666666666667,1.0,0.5,False,False,False,True
331,Dodonkol ,0.018617021276595744,0.03975903614457831,0.023,0.06105100463678516,0,1,0,relaxing,very_low,very_low,very_low,medium,high_carb,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.6666666666666667,0.25,False,False,True,False
332,Domba daging gemuk segar,0.3372340425531915,0.1891566265060241,0.277,0.0,0,0,1,focusing,medium,medium,medium,,high_fat,0.0,0.0,0.0,0.0,0.0,0,0.6666666666666667,0.6666666666666667,0.6666666666666667,,0.5,False,True,False,False
333,Domba daging kurus  segar,0.2148936170212766,0.2060240963855422,0.14800000000000002,0.0,0,0,1,focusing,medium,medium,low,,high_fat,0.0,0.0,0.0,0.0,0.0,0,0.6666666666666667,0.6666666666666667,0.3333333333333333,,0.5,False,True,False,False
334,Domba ginjal segar,0.10638297872340426,0.20000000000000004,0.033,0.0015455950540958269,0,0,1,focusing,very_low,medium,very_low,very_low,high_protein,0.0,0.0,0.0,0.0,0.0,0,0.0,0.6666666666666667,0.0,0.0,0.75,False,True,False,False
335,Duku,0.06702127659574468,0.012048192771084338,0.002,0.024884080370942814,0,1,0,relaxing,very_low,very_low,very_low,low,high_carb,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.3333333333333333,0.25,False,False,True,False
336,Durian,0.1425531914893617,0.030120481927710843,0.03,0.04327666151468315,0,1,0,relaxing,low,very_low,very_low,low,high_carb,0.0,0.0,0.0,0.0,0.0,0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.25,False,False,True,False
337,Duwet segar,0.0851063829787234,0.006024096385542169,0.006,0.02812982998454405,0,1,0,relaxing,very_low,very_low,very_low,low,high_carb,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.3333333333333333,0.25,False,False,True,False
338,Eceng Gondok,0.019148936170212766,0.012048192771084338,0.002,0.0058732612055641415,0,1,0,relaxing,very_low,very_low,very_low,very_low,high_carb,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.25,False,False,True,False
339,Embacang,0.10425531914893617,0.016867469879518072,0.002,0.039258114374034,0,1,0,relaxing,very_low,very_low,very_low,low,high_carb,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.3333333333333333,0.25,False,False,True,False
340,Empal (daging) Goreng masakan,0.26382978723404255,0.4361445783132531,0.069,0.015610510046367852,0,0,0,uncategorized,medium,high,low,very_low,high_protein,0.0,0.0,0.0,0.0,0.0,0,0.6666666666666667,1.0,0.3333333333333333,0.0,0.75,False,False,False,True
341,Empal Goreng,0.6276595744680851,0.22289156626506026,0.5700000000000001,0.0,0,0,1,focusing,high,medium,high,,high_fat,0.0,0.0,0.0,0.0,0.0,0,1.0,0.6666666666666667,1.0,,0.5,False,True,False,False
342,Emping (kerupuk melinjo),0.3670212765957447,0.14457831325301207,0.015,0.11051004636785162,1,0,0,energizing,medium,low,very_low,high,high_carb,0.0,0.0,0.0,0.0,0.0,0,0.6666666666666667,0.3333333333333333,0.0,1.0,0.25,True,False,False,False
343,Emping beras,0.42872340425531913,0.12771084337349398,0.022000000000000002,0.13183925811437402,1,0,0,energizing,high,low,very_low,high,high_carb,0.0,0.0,0.0,0.0,0.0,0,1.0,0.3333333333333333,0.0,1.0,0.25,True,False,False,False
344,Emping komak,0.3776595744680851,0.21445783132530122,0.046,0.09381761978361669,0,0,0,uncategorized,medium,medium,very_low,high,high_carb,0.0,0.0,0.0,0.0,0.0,0,0.6666666666666667,0.6666666666666667,0.0,1.0,0.25,False,False,False,True
345,Encung asam segar,0.12978723404255318,0.042168674698795185,0.045,0.02704791344667697,0,1,0,relaxing,low,very_low,very_low,low,balanced,0.0,0.0,0.0,0.0,0.0,0,0.3333333333333333,0.0,0.0,0.3333333333333333,1.0,False,False,True,False
