id,name,calories,proteins,fat,carbohydrate,is_energizing,is_relaxing,is_focusing,primary_mood,calorie_category,protein_category,fat_category,carb_category,nutrient_balance,vitamin_a,vitamin_c,vitamin_b,iron,calcium,has_recipe,calorie_category_num,protein_category_num,fat_category_num,carb_category_num,nutrient_balance_num,mood_energizing,mood_focusing,mood_relaxing,mood_uncategorized
159,Brongkos,0.15,0.1843373493975904,0.033,0.019474497681607417,0,0,0,uncategorized,low,medium,very_low,very_low,high_protein,0.0,0.0,0.0,0.0,0.0,0,0.3333333333333333,0.6666666666666667,0.0,0.0,0.75,False,False,False,True
160,Buah Atung,0.02446808510638298,0.00963855421686747,0.002,0.0080370942812983,0,1,0,relaxing,very_low,very_low,very_low,very_low,high_carb,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.25,False,False,True,False
161,Buah kelenting segar,0.11702127659574468,0.016867469879518072,0.021,0.033075734157650694,0,1,0,relaxing,low,very_low,very_low,low,high_carb,0.0,0.0,0.0,0.0,0.0,0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.25,False,False,True,False
162,Buah kelor,0.04042553191489362,0.01807228915662651,0.002,0.011591962905718702,0,1,0,relaxing,very_low,very_low,very_low,very_low,high_carb,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.25,False,False,True,False
163,Buah kom segar,0.28085106382978725,0.04819277108433735,0.011000000000000001,0.09211746522411128,0,0,0,uncategorized,medium,very_low,very_low,high,high_carb,0.0,0.0,0.0,0.0,0.0,0,0.6666666666666667,0.0,0.0,1.0,0.25,False,False,False,True
164,Buah Mentega (bisbul),0.04148936170212766,0.008433734939759036,0.002,0.01499227202472952,0,1,0,relaxing,very_low,very_low,very_low,very_low,high_carb,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.25,False,False,True,False
165,Buah merah,0.0925531914893617,0.03132530120481928,0.027000000000000003,0.02024729520865533,0,1,0,relaxing,very_low,very_low,very_low,very_low,balanced,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,False,False,True,False
166,Buah Naga Merah segar,0.07553191489361702,0.020481927710843374,0.031000000000000003,0.014064914992272025,0,1,0,relaxing,very_low,very_low,very_low,very_low,high_fat,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.5,False,False,True,False
167,Buah Naga Putih segar,0.059574468085106386,0.00963855421686747,0.01,0.016846986089644512,0,1,0,relaxing,very_low,very_low,very_low,very_low,high_carb,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.25,False,False,True,False
168,Buah negri segar,0.05851063829787234,0.014457831325301205,0.001,0.018856259659969087,0,1,0,relaxing,very_low,very_low,very_low,very_low,high_carb,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.25,False,False,True,False
169,Buah Nona,0.1074468085106383,0.020481927710843374,0.006,0.03894899536321483,0,1,0,relaxing,low,very_low,very_low,low,high_carb,0.0,0.0,0.0,0.0,0.0,0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.25,False,False,True,False
170,Buah rotan segar,0.08297872340425531,0.007228915662650603,0.003,0.02812982998454405,0,1,0,relaxing,very_low,very_low,very_low,low,high_carb,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.3333333333333333,0.25,False,False,True,False
171,Buah rukam segar,0.12021276595744682,0.00963855421686747,0.003,0.04142194744976816,0,1,0,relaxing,low,very_low,very_low,low,high_carb,0.0,0.0,0.0,0.0,0.0,0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.25,False,False,True,False
172,Buah ruruhi segar,0.030851063829787233,0.025301204819277112,0.006999999999999999,0.0055641421947449764,0,1,0,relaxing,very_low,very_low,very_low,very_low,balanced,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,False,False,True,False
173,Buah tuppa segar,0.07127659574468086,0.004819277108433735,0.002,0.02457496136012365,0,1,0,relaxing,very_low,very_low,very_low,low,high_carb,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.3333333333333333,0.25,False,False,True,False
174,Buaya daging dendeng mentah,0.38829787234042556,0.5975903614457831,0.048,0.04760432766615147,0,0,0,uncategorized,medium,high,very_low,medium,high_protein,0.0,0.0,0.0,0.0,0.0,0,0.6666666666666667,1.0,0.0,0.6666666666666667,0.75,False,False,False,True
175,Bubur ,0.06382978723404255,0.012048192771084338,0.6,0.02009273570324575,0,1,0,relaxing,very_low,very_low,high,very_low,high_fat,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.5,False,False,True,False
176,Bubur sagu,0.1776595744680851,0.0024096385542168677,0.04,0.05100463678516229,0,0,0,uncategorized,low,very_low,very_low,medium,high_carb,0.0,0.0,0.0,0.0,0.0,0,0.3333333333333333,0.0,0.0,0.6666666666666667,0.25,False,False,False,True
177,Bubur tinotuan (Manado),0.16595744680851063,0.027710843373493974,0.002,0.0241112828438949,0,0,0,uncategorized,low,very_low,very_low,low,high_carb,0.0,0.0,0.0,0.0,0.0,0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.25,False,False,False,True
178,Bulgogi masakan,0.07659574468085106,0.13734939759036147,0.049,0.0021638330757341576,0,0,0,uncategorized,very_low,low,very_low,very_low,high_protein,0.0,0.0,0.0,0.0,0.0,0,0.0,0.3333333333333333,0.0,0.0,0.75,False,False,False,True
179,Bulung Jajan,0.225531914893617,0.20361445783132529,0.002,0.07357032457496136,0,0,0,uncategorized,medium,medium,very_low,medium,high_carb,0.0,0.0,0.0,0.0,0.0,0,0.6666666666666667,0.6666666666666667,0.0,0.6666666666666667,0.25,False,False,False,True
180,Bulung Sangu,0.2521276595744681,0.17710843373493976,0.002,0.0865533230293663,1,0,0,energizing,medium,low,very_low,high,high_carb,0.0,0.0,0.0,0.0,0.0,0,0.6666666666666667,0.3333333333333333,0.0,1.0,0.25,True,False,False,False
181,Buncis,0.03723404255319149,0.02891566265060241,0.002,0.011901081916537867,0,1,0,relaxing,very_low,very_low,very_low,very_low,high_carb,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.25,False,False,True,False
182,Buncis asam,0.06382978723404255,0.06144578313253012,0.005,0.013137557959814528,0,0,0,uncategorized,very_low,low,very_low,very_low,other,0.0,0.0,0.0,0.0,0.0,0,0.0,0.3333333333333333,0.0,0.0,0.0,False,False,False,True
183,Buncis rebus,0.031914893617021274,0.026506024096385545,0.002,0.009891808346213293,0,1,0,relaxing,very_low,very_low,very_low,very_low,high_carb,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.25,False,False,True,False
184,Bunga pepaya segar,0.047872340425531915,0.03132530120481928,0.003,0.012519319938176197,0,1,0,relaxing,very_low,very_low,very_low,very_low,high_carb,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.25,False,False,True,False
185,Bunga turi segar,0.04468085106382979,0.024096385542168676,0.011000000000000001,0.009428129829984543,0,1,0,relaxing,very_low,very_low,very_low,very_low,balanced,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,False,False,True,False
186,Bungkil Biji Karet,0.35425531914893615,0.3530120481927711,0.033,0.07727975270479134,0,0,0,uncategorized,medium,medium,very_low,medium,other,0.0,0.0,0.0,0.0,0.0,0,0.6666666666666667,0.6666666666666667,0.0,0.6666666666666667,0.0,False,False,False,True
187,Bungkil Kacang Tanah,0.3574468085106383,0.45060240963855425,0.13,0.04714064914992272,0,0,0,uncategorized,medium,high,low,medium,high_protein,0.0,0.0,0.0,0.0,0.0,0,0.6666666666666667,1.0,0.3333333333333333,0.6666666666666667,0.75,False,False,False,True
188,Bungkil Kelapa,0.39148936170212767,0.27710843373493976,0.15,0.061823802163833076,0,0,0,uncategorized,medium,medium,low,medium,other,0.0,0.0,0.0,0.0,0.0,0,0.6666666666666667,0.6666666666666667,0.3333333333333333,0.6666666666666667,0.0,False,False,False,True
189,Buntil ,0.1127659574468085,0.05301204819277109,0.063,0.012210200927357032,0,1,0,relaxing,low,very_low,low,very_low,high_fat,0.0,0.0,0.0,0.0,0.0,0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.5,False,False,True,False
190,Buntil daun talas,0.15,0.05301204819277109,0.102,0.012364760432766615,0,1,0,relaxing,low,very_low,low,very_low,high_fat,0.0,0.0,0.0,0.0,0.0,0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.5,False,False,True,False
191,Buras ,0.13372340425531914,0.03975903614457831,0.019,0.03693972179289026,0,1,0,relaxing,low,very_low,very_low,low,high_carb,0.0,0.0,0.0,0.0,0.0,0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.25,False,False,True,False
192,Burung sarang segar,0.298936170212766,0.45180722891566266,0.003,0.04961360123647605,0,0,0,uncategorized,medium,high,very_low,medium,high_protein,0.0,0.0,0.0,0.0,0.0,0,0.6666666666666667,1.0,0.0,0.6666666666666667,0.75,False,False,False,True
193,Cabai gembor merah segar,0.04042553191489362,0.01927710843373494,0.008,0.009737248840803708,0,1,0,relaxing,very_low,very_low,very_low,very_low,other,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False,False,True,False
